1,용산구,원효2동 산호아파트(현대자동차써비스센터방면) 버스정류장(03-299),버스정류장(원효2 동산호아파트) 부근 횡단보도 옆,"37.533206, 126.950269"
2,용산구,원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301),현대자동차 앞 횡단보도 옆,"37.532045, 126.953792"
3,용산구,목월공원 앞,목월공원 앞,"37.532466, 126.954969"
4,용산구,원효로 3가 시범아파트 버스정류장(03-146),뚱뚱이할머니족발 앞 버스정류장 옆,"37.534161, 126.958243"
5,용산구,원효로1가 45 (유닉스빌딩앞 버스정류장(03-140),유닉스 빌딩 버스정류장(용산경찰서) 옆,"37.540059, 126.969061"
6,용산구,원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도),원효연세치과(월드부동산) 앞 횡단보도,"37.535159, 126.961521"
7,용산구,원효로 2가 사거리 열린동물병원앞,열린동물병원 앞,"37.535547, 126.961776"
9,용산구,용산경찰서 입구(GS25 편의점앞),용산경찰서 입구 GS25 편의점 앞,"37.540355, 126.968980"
10,용산구,선린인터넷고등학교 입구(CU편의점앞),선린인터넷고등학교 입구 CU 편의점 앞,"37.541678, 126.970505"
11,용산구,(구)용산구청 보건분소앞 사거리(해오름공인중개사),해오름공인중개사 앞,"37.537789, 126.966364"
12,용산구,소화아동병원앞(택시정류장),소화아동병원 앞 (택시정류장 옆),"37.553882, 126.968848"
13,용산구,청파동(서계동방면) 버스정류장(03-126),버스정류장(청파동) 전화부스 옆,"37.548872, 126.970110"
14,용산구,숙명여대입구사거리 뚜레쥬르 앞 횡단보도 옆,뚜레쥬르 앞 횡단보도 옆,"37.545006, 126.970341"
15,용산구,"숙대입구역, 청파동주민센터 버스정류장(03-128)","굴뚝 옆 버스정류장(숙대입구역, 청파동주민센터)","37.545438, 126.970751"
17,용산구,용산고등학교 앞 사거리(구두수선소 앞),용산고등학교 건너편 구두수선소 옆,"37.545800, 126.978382"
18,용산구,스마일치과의원 건너편 버스정류장(03-203),서울휴치과 건너편 버스정류장(용산중고),"37.546783, 126.978332"
19,용산구,SC제일은행앞 버스정류장(03-201),SC제일은행 앞,"37.549904, 126.977488"
20,용산구,후암시장(삼강의원방면) 버스정류장(03-200),기쁨의교회 앞,"37.550732, 126.977096"
21,용산구,후암삼거리 버스정류장(03-199) 클라라 잡화,PAPAVALLEY PIZZA 앞,"37.552432, 126.976633"
